2026/08/15 02:55:25 [ACTION] APP_EXIT - scanDOC TUI exited cleanly
2026/08/15 03:01:20 [ACTION] APP_START - scanDOC TUI started
2026/08/15 03:01:22 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:23 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:23 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 03:01:24 [KEYPRESS] Key: 'down' | Screen: outputs
2026/08/15 03:01:25 [KEYPRESS] Key: 'down' | Screen: outputs
2026/08/15 03:01:25 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:01:27 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:01:28 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:01:30 [KEYPRESS] Key: 'left' | Screen: outputs
2026/08/15 03:01:31 [KEYPRESS] Key: 'down' | Screen: outputs
2026/08/15 03:01:36 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:01:38 [KEYPRESS] Key: 'left' | Screen: processing
2026/08/15 03:01:40 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 03:01:40 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 03:01:41 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 03:01:42 [KEYPRESS] Key: 'enter' | Screen: processing
2026/08/15 03:01:45 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:45 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:46 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:47 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:47 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 03:01:47 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:48 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:01:48 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 03:01:49 [KEYPRESS] Key: 'down' | Screen: outputs
2026/08/15 03:01:52 [KEYPRESS] Key: 'up' | Screen: outputs
2026/08/15 03:01:53 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:54 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:55 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:56 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:57 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:58 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:01:58 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:02:01 [KEYPRESS] Key: 'backspace' | Screen: outputs
2026/08/15 03:02:04 [KEYPRESS] Key: 'down' | Screen: outputs
2026/08/15 03:02:04 [KEYPRESS] Key: 'up' | Screen: outputs
2026/08/15 03:02:06 [KEYPRESS] Key: 'right' | Screen: outputs
2026/08/15 03:02:06 [KEYPRESS] Key: 'right' | Screen: outputs
2026/08/15 03:02:07 [KEYPRESS] Key: 'right' | Screen: outputs
2026/08/15 03:02:07 [KEYPRESS] Key: 'right' | Screen: outputs
2026/08/15 03:02:07 [KEYPRESS] Key: 'right' | Screen: outputs
2026/08/15 03:02:07 [KEYPRESS] Key: 'left' | Screen: outputs
2026/08/15 03:02:08 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:02:09 [KEYPRESS] Key: 'enter' | Screen: outputs
2026/08/15 03:02:11 [KEYPRESS] Key: 'esc' | Screen: outputs
2026/08/15 03:03:03 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 03:03:03 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 03:04:02 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 03:04:03 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 03:04:03 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 03:04:05 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:08 [KEYPRESS] Key: 'backspace' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:09 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:10 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:10 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 03:04:10 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:10 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 03:04:11 [KEYPRESS] Key: 'up' | Screen: file_picker
